ID,Server ID,Timestamp,CPU Usage,CPU Temp,Memory Usage,Disk Usage,Network Sent,Network Received,GPU Usage
1604,default_server,2025-02-15 00:48:28,14.5,,73.8,9.6,2407286784,4313015296,
1603,default_server,2025-02-15 00:48:27,14.6,,74.0,9.6,2407286784,4313015296,
1602,default_server,2025-02-15 00:48:25,9.8,,74.1,9.6,2407286784,4313014272,
1601,default_server,2025-02-15 00:48:24,10.8,,74.1,9.6,2407286784,4313014272,
1600,default_server,2025-02-15 00:48:22,15.1,,73.7,9.6,2407285760,4313012224,
1599,default_server,2025-02-15 00:48:21,14.0,,73.8,9.6,2407285760,4313012224,
1598,default_server,2025-02-15 00:48:19,14.8,,73.7,9.6,2407284736,4313011200,
1597,default_server,2025-02-15 00:48:18,13.1,,73.8,9.6,2407284736,4313011200,
1596,default_server,2025-02-15 00:48:16,16.6,,74.0,9.6,2407276544,4312994816,
1595,default_server,2025-02-15 00:48:15,18.5,,74.4,9.6,2407276544,4312994816,
1594,default_server,2025-02-15 00:48:13,11.8,,74.2,9.6,2407228416,4312949760,
1593,default_server,2025-02-15 00:48:12,11.9,,74.3,9.6,2407228416,4312949760,
1592,default_server,2025-02-15 00:48:10,14.6,,74.3,9.6,2407227392,4312947712,
1591,default_server,2025-02-15 00:48:09,13.6,,74.2,9.6,2407227392,4312947712,
1590,default_server,2025-02-15 00:48:07,4.1,,73.5,9.6,2407226368,4312946688,
1589,default_server,2025-02-15 00:48:06,6.0,,73.5,9.6,2407226368,4312946688,
1588,default_server,2025-02-15 00:48:04,6.9,,73.4,9.6,2407217152,4312938496,
1587,default_server,2025-02-15 00:48:03,7.6,,73.4,9.6,2407217152,4312938496,
1586,default_server,2025-02-15 00:48:01,3.9,,73.3,9.6,2407217152,4312938496,
1585,default_server,2025-02-15 00:48:00,5.7,,73.3,9.6,2407217152,4312938496,
1584,default_server,2025-02-15 00:47:58,6.2,,74.0,9.6,2407217152,4312938496,
1583,default_server,2025-02-15 00:47:57,8.0,,74.0,9.6,2407217152,4312938496,
1582,default_server,2025-02-15 00:47:55,12.1,,74.1,9.6,2407216128,4312936448,
1581,default_server,2025-02-15 00:47:54,13.0,,74.8,9.6,2407216128,4312936448,
1580,default_server,2025-02-15 00:47:52,6.6,,74.3,9.6,2407159808,4312775680,
1579,default_server,2025-02-15 00:47:51,11.2,,74.3,9.6,2407159808,4312775680,
1578,default_server,2025-02-15 00:47:49,12.8,,74.2,9.6,2407137280,4312772608,
1577,default_server,2025-02-15 00:47:48,9.0,,74.0,9.6,2407137280,4312772608,
1576,default_server,2025-02-15 00:47:46,22.6,,73.9,9.6,2407126016,4312770560,
1575,default_server,2025-02-15 00:47:45,22.4,,73.9,9.6,2407126016,4312770560,
1574,default_server,2025-02-15 00:47:43,4.6,,72.6,9.6,2407126016,4312770560,
1573,default_server,2025-02-15 00:47:42,6.4,,72.6,9.6,2407126016,4312770560,
1572,default_server,2025-02-15 00:47:40,16.6,,73.5,9.6,2407124992,4312769536,
1571,default_server,2025-02-15 00:47:39,12.3,,74.1,9.6,2407124992,4312769536,
1570,default_server,2025-02-15 00:47:37,10.4,,74.4,9.6,2407124992,4312769536,
1569,default_server,2025-02-15 00:47:36,13.4,,74.4,9.6,2407124992,4312769536,
1568,default_server,2025-02-15 00:47:34,12.2,,73.4,9.6,2407094272,4312757248,
1567,default_server,2025-02-15 00:47:33,9.8,,73.4,9.6,2407094272,4312757248,
1566,default_server,2025-02-15 00:47:31,12.9,,73.7,9.6,2407094272,4312756224,
1565,default_server,2025-02-15 00:47:30,14.9,,73.7,9.6,2407094272,4312756224,
1564,default_server,2025-02-15 00:47:28,2.2,,73.2,9.6,2407093248,4312756224,
1563,default_server,2025-02-15 00:47:27,2.1,,73.2,9.6,2407093248,4312756224,
1562,default_server,2025-02-15 00:47:25,12.6,,73.7,9.6,2407088128,4312754176,
1561,default_server,2025-02-15 00:47:24,9.9,,73.5,9.6,2407088128,4312753152,
1559,default_server,2025-02-15 00:47:21,2.5,,72.9,9.6,2407087104,4312753152,
1560,default_server,2025-02-15 00:47:21,3.0,,72.9,9.6,2407087104,4312753152,
